"","NumByPattern","pattern","Item1","Element1","Item2","Element2","Item3","Element3","Item4","Element4","FAC"
"1",26,"h2_name_p_title","name_element ** combined_element","h2 ** h5 ** h3 ** h6 ** h1 ** p","title_element ** separator","p ** div ** span ** h4","container_class ** reversed","member-content ** elementor-cta__content ** FALSE ** TRUE","","","973   959   958   948   908   907   896   888   800   788   732   686   681   676   674   663   655   648   646   611   965   962   726   953   632   932"
"2",25,"div_classes","name_class ** container_class","card-title ** field--name-title ** personnel--name ** staff-name ** leadership-block-name ** field__content ** person-name ** name ** expand-tiles__tile-title ** tm-name ** title ** dr-name ** card ** bio-token--name ** mb-name","title_class ** name_class","card-subtitle ** field--name-field-position ** personnel--title ** field--name-field-role ** staff-title ** leadership-block-title ** person-title ** position ** expand-tiles__tile-meta--position ** tm-primary-title ** job_title ** dr-degrees ** card-title ** bio-token--position ** mb-position","container_class ** title_class","author-wrapper ** staff-top ** member-name **  ** team-member ** staff-member ** right-side ** card-info ** card-text ** bio-token--inner ** mb-item","","","980   978   972   969   942   910   862   858   824   739   696   684   653   931   745   736   699   640   905   606   979   837   976   695   982"
"3",21,"combined_h2","combined_element","h4 ** div.field--name-field-title ** h3 ** a ** button.btn.bold.text-Hm2021_Noir_special ** h2 ** p ** span ** h5.emphasis-Secondary","separator",",  ** :  ** - ** , **  |  ** : **  - ","reversed","FALSE ** TRUE","","","964   936   900   768   753   724   654   601   593   600   967   955   928   814   771   665   941   952   951   970   619"
"4",10,"p_with_bold_and_br","","","","","","","","","946   889   882   854   784   734   813   804   983   793"
"5",7,"h2_name_h3_title","name_element","h2","title_element","h3","","","","","626   599   597   940   707   624   596"
"6",7,"list_items","list_type","ol ** ul","format ** item_element","combined ** li","separator ** format","– ** ,  **  |  ** combined","separator",", ","881   666   647   930   957   790   850"
"7",4,"table_rows","structure_type","table","name_location","td_column_1 ** th_column_1","title_location","td_column_2","","","977   662   661   781"
"8",3,"div_container_multiclass","container_selector",".about_team-item_block ** [data-testid='mesh-container-content']","element_type ** name_class","div ** font_5","name_class ** title_class","text-weight-bold ** font_7","title_class ** category_filter"," ** ​","802   682"
"9",3,"nested_list_with_ids","name_selector","span.name ** div[id^='t-']","title_selector","span.title ** span.position ** span[id^='d-']","container_class ** container"," ** li.column","","","718   701   827"
"10",3,"p_with_br_list_reversed","container_class","elementor-icon-box-description","separator"," | ","","","","","723   685   638"
"11",1,"boardcard_gallery","container_class","boardcard","text_format","name_comma_title","separator",",","","","935"
"12",1,"field_content_sequential","element_selector",".field-content","pattern_type","sequential_every_3","start_index","3","","","939"
"13",1,"h2_combined_complex","","","","","","","","","975"
"14",1,"p_strong_combined","container_selector","p","separator",", ","","","","","938"
"15",1,"qch_mixed_tables","","","","","","","","","777"
"16",1,"table_cells","separator","
","","","","","","","704"
