"FAC","hospital_name","executive_name","executive_title","date_gathered","error_message"
"707","Ross Memorial Hospital","Kelly Isfan","President and CEO",2025-10-05,NA
"707","Ross Memorial Hospital","Dr. Bharat Chawla","Chief of Staff",2025-10-05,NA
"707","Ross Memorial Hospital","Vlad Padure","Vice President Clinical and Chief Nursing Executive",2025-10-05,NA
"707","Ross Memorial Hospital","Emma Elley","Chief Human Resources Officer",2025-10-05,NA
"707","Ross Memorial Hospital","Yen Daniel","Chief Financial Officer (CFO)",2025-10-05,NA
"707","Ross Memorial Hospital","Dan Meraw","Chief Information Officer (CIO)",2025-10-05,NA
"624","Campbellford Memorial Hospital","Jeff Hohenkerk","President/CEO",2025-10-05,NA
"624","Campbellford Memorial Hospital","Heather Campbell","VP Patient Care/Chief Nursing Executive",2025-10-05,NA
"624","Campbellford Memorial Hospital","Adam Kolisnyk","VP Corporate Services/CFO",2025-10-05,NA
"624","Campbellford Memorial Hospital","Jessica Brandon","Manager Human Resources",2025-10-05,NA
"624","Campbellford Memorial Hospital","Julia Swedak","Innovation and Transformation Officer",2025-10-05,NA
"624","Campbellford Memorial Hospital","Dr. Dimitri Louvish","Chief of Staff",2025-10-05,NA
"624","Campbellford Memorial Hospital","Julia Swedak","Innovation and Transformation Officer",2025-10-05,NA
"624","Campbellford Memorial Hospital","Dr. Dimitri Louvish","Chief of Staff",2025-10-05,NA
"596","Alliston Stevenson Memorial Hospital","Carmine Stumpo","Supervisor",2025-10-05,NA
"596","Alliston Stevenson Memorial Hospital","Sarah Morris","Interim Chief Nursing Executive",2025-10-05,NA
"596","Alliston Stevenson Memorial Hospital","Sharon Ramagnano","Interim Vice President, Clinical Services",2025-10-05,NA
"596","Alliston Stevenson Memorial Hospital","Dr. Roger Musa","Chief of Staff",2025-10-05,NA
"596","Alliston Stevenson Memorial Hospital","Martin Mazza","Vice President of Corporate Services & Chief Financial Officer",2025-10-05,NA
"661","Cambridge Memorial Hospital","Patrick Gaskin","President & Chief Executive Officer",2025-10-05,NA
"661","Cambridge Memorial Hospital","Winnie Lee","Chief of Staff",2025-10-05,NA
"661","Cambridge Memorial Hospital","Trevor Clark","Vice President Finance & Corporate Services / Chief Financial Officer",2025-10-05,NA
"661","Cambridge Memorial Hospital","Stephanie Pearsall","Vice President of Clinical Programs and Chief Nursing Executive",2025-10-05,NA
"661","Cambridge Memorial Hospital","Mari Iromoto","Vice President, People & Strategy",2025-10-05,NA
"661","Cambridge Memorial Hospital","Susan Toth","Director HR, Chief Human Resources Officer",2025-10-05,NA
"661","Cambridge Memorial Hospital","Amanda Thibodeau","Director, Construction",2025-10-05,NA
"661","Cambridge Memorial Hospital","Rob Howe","Director, Corporate Services & Chief Information Office",2025-10-05,NA
