"FAC","Hospital_Name","URL","Name","Title","Source"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Karen Riddell","President & Chief Executive Officer","manual_entry_required"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Nicole Krywionek","Chief Nursing Executive and Vice President of Critical Care, Cardiology, Diagnostic Imaging, Respiratory Therapy, Patient Relations, Corporate Education and Training, and Professional Practice","manual_entry_required"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Dr. Wassim Saad","Vice President of Medical Affairs and Chief of Staff","manual_entry_required"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Brandon Bailey","Vice President of Redevelopment","manual_entry_required"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Todd Bested","Vice President of People & Culture","manual_entry_required"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Kristi Cecile","Vice President of Medicine, Stroke Program, Access & Patient Flow, Allied Health, Pharmacy, IPAC and HIV Care Program","manual_entry_required"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Jonathan Foster","Vice President of Emergency, Trauma, Mental Health, Cancer Services & Renal","manual_entry_required"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Malissa Gauthier","Vice President of Corporate and Laboratory Services & Chief Financial Officer","manual_entry_required"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Kelly Heron","Vice President of Women and Children, Inpatient Surgery, Peri-Operative and Ambulatory Surgical Services","manual_entry_required"
"933","WINDSOR REGIONAL HOSPITAL","https://www.wrh.on.ca/ExecutiveCommittee","Margo Reilly","Executive Director of the Windsor Family Health Team","manual_entry_required"
"826","KENORA LAKE OF THE WOODS","http://www.lwdh.on.ca/index.php/programs-and-services/administration.html","Cheryl O'Flaherty","President and Chief Executive Officer","manual_entry_required"
"826","KENORA LAKE OF THE WOODS","http://www.lwdh.on.ca/index.php/programs-and-services/administration.html","Gillian Nattress","Vice President Patient Services and Chief Nursing Officer","manual_entry_required"
"826","KENORA LAKE OF THE WOODS","http://www.lwdh.on.ca/index.php/programs-and-services/administration.html","Alison Wesley-James","VP Operations and Capital Planning","manual_entry_required"
"826","KENORA LAKE OF THE WOODS","http://www.lwdh.on.ca/index.php/programs-and-services/administration.html","Dr. Sean Moore,","Chief of Staff","manual_entry_required"
"826","KENORA LAKE OF THE WOODS","http://www.lwdh.on.ca/index.php/programs-and-services/administration.html","Dr. Meghan Olson","President of Medical Staff","manual_entry_required"
"826","KENORA LAKE OF THE WOODS","http://www.lwdh.on.ca/index.php/programs-and-services/administration.html","Dr. Jossie Sweat Cosentino","Vice President of Medical Staff","manual_entry_required"
"719","MANITOUWADGE SANTE MANITOUWADGE","https://www.mh.on.ca/organizationalstructure","Annie Janveau","President and CEO","manual_entry_required"
"719","MANITOUWADGE SANTE MANITOUWADGE","https://www.mh.on.ca/organizationalstructure","Megan Esarte","Chief Nursing Officer/Director of Clinical Services","manual_entry_required"
"719","MANITOUWADGE SANTE MANITOUWADGE","https://www.mh.on.ca/organizationalstructure","Trena Roberts","Director of Community Services and Programs","manual_entry_required"
"719","MANITOUWADGE SANTE MANITOUWADGE","https://www.mh.on.ca/organizationalstructure","Amy Gray","Director of Finance","manual_entry_required"
"719","MANITOUWADGE SANTE MANITOUWADGE","https://www.mh.on.ca/organizationalstructure","Teresa Malakoff","Support Services Manager/Privacy Officer","manual_entry_required"
"714","LONDON ST JOSEPHS","https://www.sjhc.london.on.ca/about-us/about-st-josephs-health-care-london/leadership-team","Roy Butler","President and CEO","manual_entry_required"
"709","Listowel Wingham LISTOWEL MEMORIAL","https://lwha.ca/about/board/","Esther Millar","CEO","manual_entry_required"
"651","OTTAWA ROYAL OTTAWA (PSYCH)","https://www.theroyal.ca/about-royal/leadership/senior-leadership-team","Cara Vaccarino","President and CEO","manual_entry_required"
"651","OTTAWA ROYAL OTTAWA (PSYCH)","https://www.theroyal.ca/about-royal/leadership/senior-leadership-team","Dr. Benoît Mulsant","Interim Psychiatrist-in-Chief and Chief of Staff","manual_entry_required"
"651","OTTAWA ROYAL OTTAWA (PSYCH)","https://www.theroyal.ca/about-royal/leadership/senior-leadership-team","Nyranne Martin","Chief Operating Officer","manual_entry_required"
"651","OTTAWA ROYAL OTTAWA (PSYCH)","https://www.theroyal.ca/about-royal/leadership/senior-leadership-team","Dr. Florence Dzierszinski","President & CEO, IMHR and VP of Research at The Royal","manual_entry_required"
"651","OTTAWA ROYAL OTTAWA (PSYCH)","https://www.theroyal.ca/about-royal/leadership/senior-leadership-team","Chris Ide","President & CEO, Foundation and VP, Brand & Marketing","manual_entry_required"
