hospital_name,fac_number,hospital_type,person_name,credentials,title,collection_date,data_status,source_url,pattern_used,notes
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Altaf Stationwala,NA,President and CEO,2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Dr. Najma Ahmed,NA,"EVP, Chief Medical Officer (Interim)",2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Beverly Bulmer,NA,"VP Education, Quality and Patient Experience",2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Sonya Canzian,NA,"Executive Vice President, Clinical Operations Officer and Chief Nursing and Health Disciplines Executive",2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,title_length_warning
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Melanie de Wit,NA,"VP, Strategy, Partnerships, Risk & Chief Legal Officer",2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Dr. Irfan Dhalla,NA,VP Clinical Programs & Equity,2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Sabrina Divell,NA,"VP Government, Stakeholder Relations & Chief Communications Officer",2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Brian Edmonds,NA,Chief Financial Officer (Interim),2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Jonathan Fetros,NA,"VP, Clinical Programs",2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Damian Jankowicz,NA,"Executive Vice President, Chief Information & Chief AI Officer",2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Michael Keen,NA,VP of Facilities and Planning,2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Manson Locke,NA,"VP, People, Mission, Culture & Chief Human Resources Officer",2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Dr. Filomena Meffe,NA,Chair of the Medical Advisory Committee,2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Dr. Ori D. Rotstein,NA,VP of Research and Innovation,2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Trixie Williams,NA,"VP, Clinical Programs",2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Dr. David Pichora,NA,President and Chief Executive Officer,2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Dr. Michael Fitzpatrick,NA,Chief of Staff & Executive Vice President Medical and Academic Affairs,2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Dr. Renate Ilse,NA,Chief Operating Officer (COO) Executive Vice-President (EVP) of Corporate Services,2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Jason Hann,NA,"Executive Vice President, Patient Care & Chief Nursing Executive and Regional Vice President, Cancer Care, Ontario Health (Cancer Care Ontario)",2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,title_length_warning
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Nick Anand,NA,"Vice President of Planning, Facilities and Redevelopment",2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Dr. Steve Smith,NA,"Vice President, Health Sciences Research, CEO KHSCRI",2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Mary Lou Toop,NA,Vice-President & Chief Financial Officer,2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Christopher Gillies,NA,Vice President Medical & Academic Affairs,2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Valerie Gamache-O'Leary,NA,Vice President and Chief Information Officer,2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Indira Naraine,NA,"Vice President - People, Mission & Values, and Chief Human Resources Officer (CHRO)",2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
KINGSTON KINGSTON HEALTH SCIENCES,978,Teaching Hospital,Tom Zsolnay,NA,"President and CEO, University Hospitals Kingston Foundation",2025-11-23,scraped,https://kingstonhsc.ca/about-khsc/senior-leadership-team,div_classes,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Dr. Sayali Tadwalkar,NA,Chief of Staff,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
