hospital_name,fac_number,hospital_type,person_name,credentials,title,collection_date,data_status,source_url,pattern_used,notes
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Nora Aufreiter,NA,Chair,2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TORONTO UNITY HEALTH TORONTO,980,Teaching Hospital,Doug Guzman,NA,Vice-chair,2025-11-23,scraped,https://unityhealth.to/about-unity-health/about-unity-health-toronto/leadership/,div_classes,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Stephen Wilson,NA,Chair,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Jon Hall,NA,Vice Chair,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Michele Lajeunesse,NA,Director,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Mary Lynn Dingwell,NA,Director,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Shelly Livingston,NA,Director,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Neil McDonald,NA,Director,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Tonia Oldford,NA,Director,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Teresa Robert,NA,Director,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
TERRACE BAY NORTH OF SUPERIOR HC,977,Small Hospital,Robert Sliter,NA,Director,2025-11-23,scraped,https://www.nosh.ca/board-of-directors,table_rows,NA
PENETANGUISHENE WAYPOINT,972,Specialty Mental Health Hospital,Steve Parry,NA,Chair,2025-11-23,scraped,https://www.waypointcentre.ca/about-waypoint/leadership#our-senior-leadership-team,div_classes,NA
PENETANGUISHENE WAYPOINT,972,Specialty Mental Health Hospital,Gail Czukar,NA,First Vice-Chair,2025-11-23,scraped,https://www.waypointcentre.ca/about-waypoint/leadership#our-senior-leadership-team,div_classes,NA
PENETANGUISHENE WAYPOINT,972,Specialty Mental Health Hospital,Ernest Vaillancourt,NA,Second Vice-Chair,2025-11-23,scraped,https://www.waypointcentre.ca/about-waypoint/leadership#our-senior-leadership-team,div_classes,NA
PENETANGUISHENE WAYPOINT,972,Specialty Mental Health Hospital,Soumya Ghosh,NA,Director,2025-11-23,scraped,https://www.waypointcentre.ca/about-waypoint/leadership#our-senior-leadership-team,div_classes,NA
PENETANGUISHENE WAYPOINT,972,Specialty Mental Health Hospital,Trisha Hutzul,NA,Director,2025-11-23,scraped,https://www.waypointcentre.ca/about-waypoint/leadership#our-senior-leadership-team,div_classes,NA
PENETANGUISHENE WAYPOINT,972,Specialty Mental Health Hospital,Shawn Leis,NA,Director,2025-11-23,scraped,https://www.waypointcentre.ca/about-waypoint/leadership#our-senior-leadership-team,div_classes,NA
PENETANGUISHENE WAYPOINT,972,Specialty Mental Health Hospital,Anthea Ryan,NA,Director,2025-11-23,scraped,https://www.waypointcentre.ca/about-waypoint/leadership#our-senior-leadership-team,div_classes,NA
PENETANGUISHENE WAYPOINT,972,Specialty Mental Health Hospital,Doris Shirriff,NA,Director,2025-11-23,scraped,https://www.waypointcentre.ca/about-waypoint/leadership#our-senior-leadership-team,div_classes,NA
PENETANGUISHENE WAYPOINT,972,Specialty Mental Health Hospital,George Vadeboncoeur,NA,Director,2025-11-23,scraped,https://www.waypointcentre.ca/about-waypoint/leadership#our-senior-leadership-team,div_classes,NA
MOUNT FOREST NORTH WELLINGTON HC,963,Small Hospital,Tom Barlow,NA,"Board Chair, JEC Chair *",2025-11-23,scraped,https://gmch.whca.ca/board-of-directors,combined_h2,NA
MOUNT FOREST NORTH WELLINGTON HC,963,Small Hospital,David Reichart,NA,Board Vice Chair *,2025-11-23,scraped,https://gmch.whca.ca/board-of-directors,combined_h2,NA
MOUNT FOREST NORTH WELLINGTON HC,963,Small Hospital,Gilles Madore,NA,Past Board Chair *,2025-11-23,scraped,https://gmch.whca.ca/board-of-directors,combined_h2,NA
MOUNT FOREST NORTH WELLINGTON HC,963,Small Hospital,Ted Arnott,NA,Director *,2025-11-23,scraped,https://gmch.whca.ca/board-of-directors,combined_h2,NA
MOUNT FOREST NORTH WELLINGTON HC,963,Small Hospital,Jennifer Krul,NA,Director *,2025-11-23,scraped,https://gmch.whca.ca/board-of-directors,combined_h2,NA
MOUNT FOREST NORTH WELLINGTON HC,963,Small Hospital,Krystal Leonov,NA,Director *,2025-11-23,scraped,https://gmch.whca.ca/board-of-directors,combined_h2,NA
MOUNT FOREST NORTH WELLINGTON HC,963,Small Hospital,Kevin Shanahan,NA,Director *,2025-11-23,scraped,https://gmch.whca.ca/board-of-directors,combined_h2,NA
MOUNT FOREST NORTH WELLINGTON HC,963,Small Hospital,Richard Wright,NA,Director,2025-11-23,scraped,https://gmch.whca.ca/board-of-directors,combined_h2,NA
MOUNT FOREST NORTH WELLINGTON HC,963,Small Hospital,Howard Dobson,NA,Director,2025-11-23,scraped,https://gmch.whca.ca/board-of-directors,combined_h2,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Irene Odell,NA,Board Chair,2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Diana McNiven,NA,"Vice Chair, Quality/Governance & Planning Committee",2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Mark Bell,NA,"Treasurer, Chair Finance, Resources & Audit Committee",2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Kurtis Bishop,NA,Director,2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Jennifer Dailloux,NA,Director,2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Dr. Sharon Kaasalainen,NA,Director,2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Dr. Donald Pierson,NA,Director,2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Charlotte Snider,NA,Director,2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Michael Tambosso,NA,Director,2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
DYSART ET AL HALIBURTON HEALTH SER,938,Small Hospital,Dr. Clifford Ottaway,NA,Director,2025-11-23,scraped,https://www.hhhs.ca/about/board,p_strong_combined,NA
