"FAC","Hospital","Status","File_KB","Filename","Error"
"971","SUDBURY ST.JOSEPHS CONTINUING CARE","✓",283.5,"FAC-971_20260112.png",""
"933","WINDSOR REGIONAL HOSPITAL","✓",55,"FAC-933_20260112.png",""
"854","TORONTO SA GRACE","✓",577.8,"FAC-854_20260112.png",""
"826","KENORA LAKE OF THE WOODS","✓",72.1,"FAC-826_20260112.png",""
"723","MATHESON BINGHAM MEMORIAL","✓",892.5,"FAC-723_20260112.png",""
"719","MANITOUWADGE SANTE MANITOUWADGE","✓",161.9,"FAC-719_20260112.png",""
"685","MICS Group IROQUOIS FALLS ANSON GEN","✓",892.5,"FAC-685_20260112.png",""
"681","HEARST NOTRE DAME","✓",607.4,"FAC-681_20260112.png",""
"651","OTTAWA ROYAL OTTAWA (PSYCH)","✓",1167.9,"FAC-651_20260112.png",""
"650","ELLIOT LAKE ST JOSEPH'S","✓",471.4,"FAC-650_20260112.png",""
"638","MICS GROUP COCHRANE LADY MINTO","✓",892.5,"FAC-638_20260112.png",""
"627","CHAPLEAU SER DE SANTÉ DE CHAPLEAU","✓",370.7,"FAC-627_20260112.png",""
"611","BLIND RIVER NORTH SHORE HN","✓",450.6,"FAC-611_20260112.png",""
"966","SARNIA BLUEWATER HEALTH","✓",55.3,"FAC-966_20260112.png",""
"763","PEMBROKE REGIONAL","✓",591.6,"FAC-763_20260112.png",""
"736","NEWMARKET SOUTHLAKE REGIONAL","✓",1405.6,"FAC-736_20260112.png",""
"974","NORTH BAY NORTH BAY REGIONAL HC","✓",568.5,"FAC-974_20260112.png",""
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","✓",55.2,"FAC-981_20260112.png",""
"941","Humber River Hospital","✓",650.5,"FAC-941_20260112.png",""
"947","TORONTO UNIVERSITY HEALTH NETWORK","✓",576.2,"FAC-947_20260112.png",""
"927","Windsor Hotel Dieu Grace","✓",55.3,"FAC-927_20260112.png",""
