"FAC","Hospital","Status","File_KB","Filename","Error"
"971","SUDBURY ST.JOSEPHS CONTINUING CARE","✓",316.2,"FAC-971_20260115.png",""
"933","WINDSOR REGIONAL HOSPITAL","✓",55,"FAC-933_20260115.png",""
"854","TORONTO SA GRACE","✓",561.8,"FAC-854_20260115.png",""
"826","KENORA LAKE OF THE WOODS","✓",72.1,"FAC-826_20260115.png",""
"723","MATHESON BINGHAM MEMORIAL","✓",822.2,"FAC-723_20260115.png",""
"719","MANITOUWADGE SANTE MANITOUWADGE","✓",161.9,"FAC-719_20260115.png",""
"685","MICS Group IROQUOIS FALLS ANSON GEN","✓",892.5,"FAC-685_20260115.png",""
"681","HEARST NOTRE DAME","✓",607.4,"FAC-681_20260115.png",""
"651","OTTAWA ROYAL OTTAWA (PSYCH)","✓",1172.1,"FAC-651_20260115.png",""
"650","ELLIOT LAKE ST JOSEPH'S","✓",471.4,"FAC-650_20260115.png",""
"638","MICS GROUP COCHRANE LADY MINTO","✓",892.5,"FAC-638_20260115.png",""
"627","CHAPLEAU SER DE SANTÉ DE CHAPLEAU","✓",370.7,"FAC-627_20260115.png",""
"611","BLIND RIVER NORTH SHORE HN","✓",450.6,"FAC-611_20260115.png",""
"966","SARNIA BLUEWATER HEALTH","✓",55.7,"FAC-966_20260115.png",""
"763","PEMBROKE REGIONAL","✓",591.6,"FAC-763_20260115.png",""
"736","NEWMARKET SOUTHLAKE REGIONAL","✓",1425.8,"FAC-736_20260115.png",""
"974","NORTH BAY NORTH BAY REGIONAL HC","✓",568.5,"FAC-974_20260115.png",""
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","✓",55.3,"FAC-981_20260115.png",""
"941","Humber River Hospital","✓",650.5,"FAC-941_20260115.png",""
"927","Windsor Hotel Dieu Grace","✓",55,"FAC-927_20260115.png",""
